Threshold,Precision,Recall,F1
4.5895576e-05,0.6014714327843916,1.0,0.7511484959589987
4.6014786e-05,0.6023221835364337,1.0,0.7518115719374365
4.6133995e-05,0.6029594821684198,1.0,0.7523078220183347
4.6253204e-05,0.6035981308411215,1.0,0.7528047276539264
4.6372414e-05,0.604125093539536,1.0,0.7532144372113139
4.6491623e-05,0.605191235495307,1.0,0.7540425319334031
4.6610832e-05,0.6064983644530699,1.0,0.755056306433614
4.673004e-05,0.6069543425483593,1.0,0.7554095629235912
4.684925e-05,0.6075538553196826,1.0,0.7558737140031856
4.696846e-05,0.6082118249022962,1.0,0.756382724840782
4.708767e-05,0.608766004241615,1.0,0.7568111196438869
4.720688e-05,0.6106751134644478,1.0,0.7582846528987535
4.7326088e-05,0.6115135160725276,1.0,0.7589306650908072
4.7445297e-05,0.6125090886099959,1.0,0.7596969085482826
4.7564507e-05,0.6140523238309538,1.0,0.7608827929061016
4.7683716e-05,0.6156033551502827,1.0,0.7620723853753791
4.7802925e-05,0.61644554738952,1.0,0.7627173641221164
4.7922134e-05,0.617073792158986,1.0,0.7631980572996966
4.8041344e-05,0.6177919489836589,1.0,0.7637470881877454
4.8160553e-05,0.6183933358866335,1.0,0.7642064736096008
4.8279762e-05,0.6188673821387505,1.0,0.7645683459238005
4.839897e-05,0.6195005755211664,1.0,0.7650513757879339
4.851818e-05,0.6201350659326591,1.0,0.76553501636358
4.863739e-05,0.6225960379813948,1.0,0.7674073146621317
4.87566e-05,0.6230464981670847,1.0,0.7677494083280393
4.887581e-05,0.623919238757668,1.0,0.7684116549945192
4.8995018e-05,0.6249959678720042,1.0,0.769227710570042
4.9114227e-05,0.6255508741343406,1.0,0.7696478532168092
4.9233437e-05,0.6262180637029137,1.0,0.770152630608771
4.9352646e-05,0.6271910657926681,1.0,0.7708880353674986
4.9471855e-05,0.6285236967593344,1.0,0.7718938252487086
4.9591064e-05,0.629044040062984,1.0,0.772286102439849
4.9710274e-05,0.6294425313494899,1.0,0.7725863482466724
4.9829483e-05,0.6304768722646145,1.0,0.773364994159166
4.9948692e-05,0.6311340575579407,1.0,0.7738592064389235
5.00679e-05,0.6317926143311323,1.0,0.7743540507668399
5.018711e-05,0.6326900470219435,1.0,0.7750277455305654
5.030632e-05,0.6330414611036691,1.0,0.7752913472256606
5.042553e-05,0.6340876736537234,1.0,0.7760754578798866
5.054474e-05,0.6346380609236816,1.0,0.7764875567410076
5.0663948e-05,0.6352310542104487,1.0,0.7769312461259562
5.0783157e-05,0.6358251566960916,1.0,0.7773754428540554
5.0902367e-05,0.6365771922331372,1.0,0.7779372599893447
5.1021576e-05,0.6375826779426766,1.0,0.7786876139288975
5.1140785e-05,0.6380550936064413,1.0,0.77903984084743
5.1259995e-05,0.6386755447143752,1.0,0.7795021325325108
5.1379204e-05,0.639371040126716,1.0,0.7800199229787491
5.1498413e-05,0.6399306415655189,1.0,0.7804362226593241
5.1617622e-05,0.6405229838509727,1.0,0.7808765695473802
5.173683e-05,0.6410315792956278,1.0,0.7812544054325911
5.185604e-05,0.6414878823996821,1.0,0.7815931940404318
5.197525e-05,0.6423598448430196,1.0,0.7822400711376591
5.209446e-05,0.6429993694620516,1.0,0.7827140746365728
5.221367e-05,0.6433623323150485,1.0,0.7829829316993192
5.2332878e-05,0.6437684819084959,1.0,0.7832836376624412
5.2452087e-05,0.6444644015366962,1.0,0.7837985389230359
5.2571297e-05,0.6453122398001665,1.0,0.7844252540860177
